month,route,direction,ln_teu_actual,ln_teu_pred,teu_actual,teu_pred
2025-09-01,UK-NL,Exports,8.092690668309919,8.044790233950671,3270.475507018459,3117.51108708574
2024-01-01,UK-NL,Imports,8.300483779701603,8.416677167471114,4025.8195325634038,4521.853103557331
2024-02-01,UK-NL,Imports,8.560972996444821,8.482665105164745,5223.761401801177,4830.306031337296
2024-03-01,UK-NL,Imports,8.670844157659243,8.554978366139425,5830.419065635414,5192.540555604077
2024-04-01,UK-NL,Imports,8.362148180873985,8.38930140733364,4281.8831531979795,4399.742992186383
2024-05-01,UK-NL,Imports,8.637901171754084,8.459448621651159,5641.476899095351,4719.455074756057
2024-06-01,UK-NL,Imports,8.65637060606777,8.277127190142373,5746.639947706674,3932.8797216948487
2024-07-01,UK-NL,Imports,8.552972104196858,8.565009814501845,5182.133402330713,5244.891396431139
2024-08-01,UK-NL,Imports,8.514556905617223,8.255958294578672,4986.835930753525,3850.5000215603645
2024-09-01,UK-NL,Imports,8.582799392427454,8.418509316515578,5339.030666915755,4530.145406448018
2024-10-01,UK-NL,Imports,8.53917097348921,8.321908840825614,5111.1053629246835,4113.003588985583
2024-11-01,UK-NL,Imports,8.380172989430385,8.396483630979692,4359.763053899352,4431.4566814184145
2024-12-01,UK-NL,Imports,8.738435990753544,8.486721677684576,6238.1315831759675,4849.940315069529
2025-01-01,UK-NL,Imports,8.664530257499049,8.58277263709542,5793.722353362131,5338.887821288475
2025-02-01,UK-NL,Imports,8.664226279156392,8.484224362741479,5791.961454894398,4837.843597591083
2025-03-01,UK-NL,Imports,8.40095510485345,8.275135694050498,4451.316191743478,3925.055200936574
2025-04-01,UK-NL,Imports,8.400909289924906,8.183214334771927,4451.112259681828,3580.344610835365
2025-05-01,UK-NL,Imports,8.596659505098792,8.66325873461984,5413.545432165667,5786.360184409089
2025-06-01,UK-NL,Imports,8.74023150649771,8.452191864376314,6249.342308152501,4685.331099261467
2025-07-01,UK-NL,Imports,8.338631161483042,8.26716273394618,4182.360844776732,3893.8853156554987
2025-08-01,UK-NL,Imports,8.687212092359827,8.414704195161253,5926.636274561103,4512.940407736927
2025-09-01,UK-NL,Imports,8.796188071339953,8.812370711517552,6609.002880662157,6716.824058890156
