month,route,direction,ln_teu_actual,ln_teu_pred,teu_actual,teu_pred
2023-07-01,UK-DE,Imports,8.952661414656966,8.83357813284696,7728.433079707432,6860.791772880632
2023-08-01,UK-DE,Imports,8.794563443351361,8.799582375458177,6598.274426838462,6631.4739616239995
2023-09-01,UK-DE,Imports,8.848551300789257,8.77483217662548,6964.292493454105,6469.358137514951
2023-10-01,UK-DE,Imports,8.805269824418593,8.74199014280474,6669.29758933218,6260.342298086453
2023-11-01,UK-DE,Imports,8.828638911861642,8.722174018971678,6826.988356174759,6137.507652662659
2023-12-01,UK-DE,Imports,9.22441230176435,8.87414454596867,10141.714054493063,7144.83177727596
2024-01-01,UK-DE,Imports,8.861804457597167,8.732650796538968,7057.2056905279205,6202.146969782269
2024-02-01,UK-DE,Imports,8.93630244117732,8.726773815693882,7603.032358048217,6165.803969006049
2024-03-01,UK-DE,Imports,8.787947079966118,8.711088851833273,6554.761951423864,6069.848056324704
2024-04-01,UK-DE,Imports,8.934604757125749,8.793957140092164,7590.135761540959,6594.275084078185
2024-05-01,UK-DE,Imports,9.097861160575569,8.911832396447616,8936.159239388697,7419.243645875449
2024-06-01,UK-DE,Imports,8.698298174996735,8.584810425446715,5992.704999070365,5349.778437316127
2024-07-01,UK-DE,Imports,8.754743653037671,8.616374888152373,6340.694937628409,5521.334615138761
2024-08-01,UK-DE,Imports,8.808681555994873,8.62343529630179,6692.090301708817,5560.455433009614
2024-09-01,UK-DE,Imports,9.008372862317094,8.785735020695245,8171.214760662787,6540.2784545634995
2024-10-01,UK-DE,Imports,8.732092142086142,8.648042676240458,6198.683080409218,5698.981058866182
2024-11-01,UK-DE,Imports,8.976886388143145,8.577437865153776,7917.940302282476,5310.481909239995
2024-12-01,UK-DE,Imports,8.961542624991369,8.771058191965295,7797.376617308301,6444.988892645059
2025-01-01,UK-DE,Imports,8.843227494854228,8.670324374130985,6927.314470990588,5827.389297322301
2025-02-01,UK-DE,Imports,8.906775149451159,8.652345028576969,7381.81741484554,5723.552903805229
2025-03-01,UK-DE,Imports,8.950256360595748,8.756297943488825,7709.868114163877,6350.557882178318
2025-04-01,UK-DE,Imports,8.584617840431841,8.527281401942531,5348.748249358769,5050.696340353771
2025-05-01,UK-DE,Imports,8.976224711421192,8.704628984014441,7912.702918417227,6030.764014985203
2025-06-01,UK-DE,Imports,9.083250909177588,8.831951688238433,8806.548832224013,6849.642144675616
2025-07-01,UK-DE,Imports,9.019189086002983,8.614118409158456,8260.076153321592,5508.889885477244
